INFO: Reference J2000; units- a is in au, ecc unitless, and all others in degrees (From Meeus (1991:202–204); Pluto - Seidelmann (1992:316))
            Mercury         Venus           Earth           Mars            Jupiter         Saturn          Uranus          Neptune         Pluto
a0          0.387098310     0.723329820     1.000001018     1.523679342     5.202603191     9.554909596     19.218446062    30.110386869    39.48168677
a1          0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000001913    -0.0000021389   -0.0000000372   -0.0000001663   -0.000000213644
a2          0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.00000000000   0.00000000098   0.00000000069   0.000000000
ecc0        0.20563175      0.00677188      0.01670862      0.09340062      0.04849485      0.05550862      0.04629590      0.00898809      0.248807660
ecc1        0.000020406     -0.000047766    -0.000042037    0.000090483     0.000163244     -0.000346818    -0.000027337    0.000006408     0.0000000179583
ecc2        -0.0000000284   0.0000000975    -0.0000001236   -0.0000000806   -0.0000004719   -0.0000006456   0.0000000790    -0.0000000008   0.000000000
ecc3        -0.00000000017  0.00000000044   0.00000000004   -0.00000000035  -0.00000000197  0.00000000338   0.00000000025   0.000000000     0.000000000
incl0       7.004986        3.394662        0.0000000       1.849726        1.303270        2.488878        0.773196        1.769952        17.14175000
incl1       -0.0059516      -0.0008568      0.0130546       -0.0081479      -0.0019872      0.0025515       -0.0016869      0.0002257       0.003075000
incl2       0.00000081      -0.00003244     -0.00000931     -0.00002255     0.00003318      -0.00004903     0.00000349      0.00000023      0.000000000
incl3       0.000000041     0.000000010     -0.000000034    -0.000000027    0.000000092     0.000000018     0.000000016     0.000000000     0.000000000
omega0      48.330893       76.679920       174.873174      49.558093       100.464441      113.665524      74.005947       131.784057      110.3034700
omega1      -0.1254229      -0.2780080      -0.2410908      -0.2949846      0.1766828       -0.2566649      0.0741461       -0.0061651      -0.010369444
omega2      -0.00008833     -0.00014256     0.00004067      -0.00063993     0.00090387      -0.00018345     0.00040540      -0.00000219     0.000000000
omega3      -0.000000196    -0.000000198    -0.000001327    -0.000002143    -0.000007032    0.000000357     0.000000104     -0.000000078    0.000000000
argp0       77.456119       131.563707      102.937348      336.060234      14.331309       93.056787       173.005159      48.123691       224.0667600
argp1       0.1588643       0.0048646       0.3225557       0.4438898       0.2155525       0.5665496       0.0893206       0.0291587       -0.0367361111
argp2       -0.00001343     -0.00138232     0.00015026      -0.00017321     0.00072252      0.00052809      -0.00009470     0.00007051      0.000000000
argp3       0.000000039     -0.000005332    0.000000478     0.000000300     -0.000004590    0.000004882     0.000000413     0.000000000     0.000000000
lonmean0    252.250906      181.979801      100.466449      355.433275      34.351484       50.077471       314.055005      304.348665      238.9288100
lonmean1    149472.6746358  58517.815676    35999.372851    19140.2993313   3034.9056746    1222.1137943    428.4669983     218.4862002     145.2077500
lonmean2    -0.00000535     0.00000165      -0.00000568     0.00000261      -0.00008501     0.00021004      -0.00000486     0.00000059      0.000000000
lonmean3    0.000000002     -0.000000002    0.000000000     -0.000000003    0.000000004     -0.000000019    0.000000006     -0.000000002    0.000000000
